Year,Month,Expense_Category,Expense_Name,Amount_Due,Due_Date,Amount_Paid,Payment_Date,Payment_Method
2000,January,CCBill,Amex,1384.7,1/23/2000,,,
2000,January,Utility,Water,47.13,1/14/2000,,,
2000,January,Utility,Internet,46.07,1/23/2000,46.07,1/25/2000,Bank Draft
2000,January,Utility,Power,95.65,1/12/2000,95.65,1/28/2000,Check
2000,January,Mortgage,House1,1733.82,1/28/2000,1733.82,1/29/2000,Check
2000,January,Mortgage,House2,1124.98,1/9/2000,1124.98,1/14/2000,Bank Draft
2000,January,Misc,Grocery,83.17,1/25/2000,83.17,1/26/2000,Bank Draft
2000,February,CCBill,Amex,1299.77,2/13/2000,1299.77,2/20/2000,Bank Draft
2000,February,Utility,Water,50.45,2/22/2000,50.45,2/22/2000,Check
2000,February,Utility,Internet,46.93,2/27/2000,46.93,2/28/2000,Bank Draft
2000,February,Utility,Power,76.64,2/2/2000,76.64,2/18/2000,Bank Draft
2000,February,Mortgage,House1,1918.94,2/12/2000,1918.94,2/13/2000,Bank Draft
2000,February,Mortgage,House2,1531.9,2/27/2000,1531.9,2/29/2000,Check
2000,February,Misc,Grocery,96.09,2/22/2000,,,
2000,March,CCBill,Amex,1009.32,3/19/2000,1009.32,3/20/2000,Bank Draft
2000,March,Utility,Water,68.27,3/20/2000,68.27,3/24/2000,Bank Draft
2000,March,Utility,Internet,31.11,3/26/2000,,,
2000,March,Utility,Power,89.67,3/14/2000,,,
2000,March,Mortgage,House1,1850.81,3/23/2000,1850.81,3/26/2000,Bank Draft
2000,March,Mortgage,House2,1295.97,3/24/2000,1295.97,3/26/2000,Check
2000,March,Misc,Grocery,80.52,3/15/2000,,,
2000,April,CCBill,Amex,844.38,4/2/2000,844.38,4/5/2000,Check
2000,April,Utility,Water,75.31,4/6/2000,75.31,4/7/2000,Bank Draft
2000,April,Utility,Internet,48.48,4/6/2000,48.48,4/15/2000,Check
2000,April,Utility,Power,93.84,4/7/2000,93.84,4/9/2000,Bank Draft
2000,April,Mortgage,House1,1585.42,4/29/2000,1585.42,4/29/2000,Bank Draft
2000,April,Mortgage,House2,1348.67,4/16/2000,1348.67,4/22/2000,Bank Draft
2000,April,Misc,Grocery,78.4,4/3/2000,78.4,4/12/2000,Check
2000,May,CCBill,Amex,1287.63,5/3/2000,1287.63,5/22/2000,Check
2000,May,Utility,Water,21.85,5/8/2000,21.85,5/24/2000,Bank Draft
2000,May,Utility,Internet,38.28,5/22/2000,38.28,5/27/2000,Bank Draft
2000,May,Utility,Power,100.11,5/26/2000,100.11,5/27/2000,Check
2000,May,Mortgage,House1,1969.6,5/28/2000,1969.6,5/28/2000,Check
2000,May,Mortgage,House2,1101.85,5/15/2000,1101.85,5/26/2000,Bank Draft
2000,May,Misc,Grocery,80.45,5/23/2000,80.45,5/25/2000,Bank Draft
2000,June,CCBill,Amex,932.55,6/24/2000,,,
2000,June,Utility,Water,41.34,6/14/2000,,,
2000,June,Utility,Internet,21.83,6/24/2000,21.83,6/27/2000,Bank Draft
2000,June,Utility,Power,107.4,6/22/2000,107.4,6/22/2000,Check
2000,June,Mortgage,House1,1717.38,6/8/2000,,,
2000,June,Mortgage,House2,1124.31,6/19/2000,1124.31,6/29/2000,Check
2000,June,Misc,Grocery,34.89,6/13/2000,34.89,6/29/2000,Bank Draft
2000,July,CCBill,Amex,1561.4,7/25/2000,1561.4,7/26/2000,Check
2000,July,Utility,Water,62.11,7/7/2000,,,
2000,July,Utility,Internet,37.77,7/20/2000,37.77,7/22/2000,Check
2000,July,Utility,Power,75.58,7/11/2000,75.58,7/26/2000,Bank Draft
2000,July,Mortgage,House1,1508.15,7/3/2000,1508.15,7/24/2000,Check
2000,July,Mortgage,House2,1257.47,7/14/2000,1257.47,7/17/2000,Bank Draft
2000,July,Misc,Grocery,66.63,7/18/2000,66.63,7/19/2000,Check
